Unnamed: 0,label,text,label_num
402,ham,"Subject: oasis jan 00
stacy ,
oasis only show a delivery of 330 , 000 at point 1427 . we have two deals
pathed for this volume : deal 158220 lower colorado - 300 , 000 ( mtrl 472 ) , and
deal 157279 30 , 000 ( mtr 1472 ) . my issue is that the original lower colorado
deal was for 310 , 000 . the additional 10000 is pathed on mtr 1516 . do i cut
deal 157279 by 10000 to make up to lower colorado ? if so , could you please
path it at point 1427 so that i will tie back to oasis . please let me know
as soon as you decide what to do . thanks
thu",0
3539,ham,"Subject: dear all
if you wish to find out more about the mission in
kosovo , you can find news and photos at
"" www . kforonline . com "" .
take care , mark
do you yahoo ! ?
get your free @ yahoo . co . uk address at http : / / mail . yahoo . co . uk
or your free @ yahoo . ie address at http : / / mail . yahoo . ie",0
145,ham,"Subject: hpl nomination for january 18 , 2000
( see attached file : hplol 18 . xls )
- hplol 18 . xls",0
1990,ham,"Subject: re : personal information needs to be updated
janet ,
please submit this name change to the tpc as soon as possible . thanks , hgm
susan wimberley @ ect
11 / 07 / 2000 02 : 45 pm
to : hector mcloughlin / corp / enron @ enron
cc : dfarmer @ enron . com @ enron
subject : re : personal information needs to be updated
once this is fixed in sap i will be able to change it in pep . the data
integrity team is being really strict on the name field . it has to be
changed in sap before i am allowed to change it in pep . please let me know
when this has been done and i will make the change asap .
enron capital & trade resources corp .
from : hector mcloughlin @ enron 11 / 07 / 2000 02 : 24 pm
to : susan wimberley / hou / ect @ ect
cc : dfarmer @ enron . com
subject : re : personal information needs to be updated
is it possible that his first name show as "" j darren "" ? daren is his middle
name and the name that everyone addresses him by .
we would also be glad to submit the change in sap if the system will accept j
darren as the first name .
please advise .
thanks for your help , hgm
susan wimberley @ ect
11 / 07 / 2000 02 : 12 pm
to : hector mcloughlin / corp / enron @ enron
cc : dfarmer @ enron . com @ enron
subject : re : personal information needs to be updated
please note that the name in pep has to mirror what is in the source system .
currently there is not a field in pep for nicknames .
enron capital & trade resources corp .
from : hector mcloughlin @ enron 11 / 07 / 2000 01 : 48 pm
to : dfarmer @ enron . com , susan wimberley / hou / ect @ ect
cc :
subject : re : personal information needs to be updated
susan ,
would you please take care of mr . farmer ' s request ? i am not able to change
names .
thanks for your help , hgm
dfarmer @ enron . com on 11 / 07 / 2000 01 : 15 : 08 pm
to : hector . mcloughlin @ enron . com
cc :
subject : personal information needs to be updated
this message is from farmer , jerry d :
my name should be changed from farmer , jerry d to farmer , j daren",0
614,ham,"Subject: deletion of your enrononline user id
password deletion
it has been noted that many users have passwords which match or are similar
to their user id ' s for internal enrononline applications ( stack manager ,
product manager , eol reports ) .
this is a significant security concern . therefore , there will be a sweep of
id ' s and passwords at the end of the day on thursday , april 5 . any user id ' s
which have passwords similar to the user id will be subject to deletion .
changing your password
passwords can be changed in either the stack manager or in eol reports .
to change your password in the stack manager , once logged on , go to toolbar &
select "" help "" and then select "" change password "" .
the system will request you to enter your new password twice .
to change your passsword in eol reports , open the reports application , log
in , select "" options "" and "" change password "" . the system will request you to
enter your new password twice . please note that the password change
functionality within the reports application is new . if it does not appear on
your menu and you are running on a standalone machine , you will need to
logout at the windows level and then login again to receive the updated
version .
if you have any questions , please call the enrononline help desk ( houston :
713 853 4357 , london : + 44 20 7783 7783 )
thank you for your assistance in preserving appropriate security .
dave",0
19,ham,"Subject: ua 4 - meter 1441 for 11 / 97 - falfurrias
daren - i need your help in resolving this issue . there wasn ' t any deal in
oss for the above reference meter , nor could i find anything in cpr . the
contract shows 089 - 41500 - 102 representing a sale in the amount of 9448 .
thanks , stella",0
3608,ham,"Subject: credit watch list - - week of 11 / 19 / 01
attached is a revised credit watch listing for the week of 11 / 19 / 01 . the yuma companies ( inc . ) has been added to this week ' s "" call credit "" column .
if there are any personnel in your group that were not included in this distribution , please insure that they receive a copy of this report .
to add additional people to this distribution , or if this report has been sent to you in error , please contact veronica espinoza at x 6 - 6002 .
for other questions , please contact jason r . williams at x 5 - 3923 , veronica espinoza at x 6 - 6002 or darren vanek at x 3 - 1436 .",0
3908,spam,"Subject: you can stay rock hard , longer
( please wait for above image to load )
don ' t overpay for the same results ! limited time only - we ' ll double your order for free . click here for more details !",1
543,ham,"Subject: re : tejas deliveries at oasis katy
lauri ,
i ' ve just completed this process ( thanks to
carlos ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . sorry it took soooooooooooooo long but
the next time should be a doozie .
thanks carlos
- jackie -
lauri a allen
03 / 21 / 2000 11 : 19 am
to : carlos j rodriguez / hou / ect @ ect , jackie young / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron , tom
acton / corp / enron @ enron
subject : tejas deliveries at oasis katy
on tuesday , march 7 th , tejas took gas from us at oasis katy and gave it back
to us at tejas laporte to help us out during an outage for $ . 02 / mmbtu . this
transaction has not been scheduled correctly . there are two deal tickets in
sitara to cover the oasis portion of the deal : # 213145 covers ena selling
the gas to hplc for hplc to transport on tejas . deal # 213370 covers the
transport usage on tejas from oasis katy to laporte . i have edited this
ticket to add the $ . 02 / mm charge . there needs to be a tejas expense contract
at laporte , # 665 , to cover the approx . 25 , 000 mm received there on the 7 th .
these volumes are currently sitting on the laporte oba .
jackie - if you would work with carlos he should be able to walk you through
getting this scheduled correctly in all systems .
thanks .",0
2406,ham,"Subject: enron / hpl actuals for january 15 , 2001
january 15 , 2001
teco tap 30 . 000 / enron",0
3267,ham,"Subject: may 23 nom
- - - - - - - - - - - - - - - - - - - - - - forwarded by tom acton / corp / enron on 05 / 22 / 2001 09 : 30 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
ronald _ s _ fancher @ reliantenergy . com on 05 / 22 / 2001 09 : 21 : 58 am
to : tom . acton @ enron . com
cc :
subject : may 23 nom
( see attached file : hpl - may . xls )
- hpl - may . xls",0
632,ham,"Subject: 98 - 1188 k for 4 / 1 & 4 / 2 / 2000
daren ,
the above meter flowed on the 215 k for 3 / 2000 . i has flow for the first two
days of this month ( sitara deal # 205569 - deal ends 3 / 31 / 2000 ) .
can you please see if the deal can be extended or if the gas should be placed
on stranger ' s ?
thanks
- jackie -
3 - 9497",0
2248,ham,"Subject: re : deal extension for 11 / 21 / 2000 for 98 - 439
i extended the deal 462490 for 11 / 21 to cover the extra volume . there is a
path in unify already so volume mgt . should be able actualize volumes .
jackie young
12 / 19 / 2000 09 : 30 am
to : victor lamadrid / hou / ect @ ect
cc :
subject : re : deal extension for 11 / 21 / 2000 for 98 - 439
typo . . . . . . . . . . . . deal # 462490
enron north america corp .
from : victor lamadrid 12 / 19 / 2000 09 : 24 am
to : jackie young / hou / ect @ ect
cc : meredith mitchell / hou / ect @ ect , daren j farmer / hou / ect @ ect , sherlyn
schumack / hou / ect @ ect , howard b camp / hou / ect @ ect , clem cernosek / hou / ect @ ect ,
cynthia franklin / corp / enron @ enron
subject : re : deal extension for 11 / 21 / 2000 for 98 - 439
jackie , 465490 is not a deal between ena and hpl . . it is a zone 5 tennessee
sale between ena and a third party . . . thanks
jackie young
12 / 19 / 2000 09 : 02 am
to : victor lamadrid / hou / ect @ ect , meredith mitchell / hou / ect @ ect , daren j
farmer / hou / ect @ ect
cc : clem cernosek / hou / ect @ ect , howard b camp / hou / ect @ ect , sherlyn
schumack / hou / ect @ ect
subject : deal extension for 11 / 21 / 2000 for 98 - 439
victor ,
can you extend deal # 465490 to cover a flow volume of 141 dec . for 11 / 21 / 2000 ?
daren ,
can you extend deal # 465322 for cover a flow volume of 140 dec . for
11 / 21 / 2000 ?
thanks
- jackie -
3 - 9497",0
5132,spam,"Subject: do you care ?
them kind so work game , meet . expect describe red , figure
mother . atom try throw excite pattern . guess early , fill farm
result twenty scale . three captain other study , above thus . wait
nation kept every sent . new next , true shall time , temperature ,
some . change rather sound mother east up up . clock , too , world
after . but , last , find where after inch , plant . your pound meat
eye , had what talk .
- -
phone : 471 - 137 - 7601
mobile : 409 - 193 - 8124
email : stony @ verizon . net
",1
2418,ham,"Subject: vacation carryover
want to verify your vacation carryover ? beginning january 22 , 2001 , all
eligible enron employees will be able to access the hours of vacation that
were carried over from the previous year by going to the ehronline website .
1 . navigate to the ehronline website : http : / / ehronline . enron . com .
2 . read the disclaimer ; click accept .
3 . enter your user id and password ; click logon .
4 . select time management from the menu at the left .
5 . select vacation information from the drop - down menu .
to see all types of vacation ( accrual , lump sum , vacation ) , click the radio
button for "" all types . ""
click display .
to see specific types of vacation ( accrual , lump sum , vacation ) , click the
radio button below "" all types "" and make your selection from the drop - down
menu .
click display .
click exit to log off .
the system will default to show all types of vacation , including ( if
available ) vacation - ( accrual ) or vacation - ( lump sum ) or vacation . the
carryover amount will be displayed next to the type : "" vacation "" under the
"" entitlement "" column .
enron policy states that employees are entitled to a maximum of 40 hours of
vacation carryover without supervisor approval . hours in excess of 40 hours
are subject to supervisor approval and will be updated once supervisor
approval has been received
if you have questions regarding your vacation , please call the payroll
hotline at 713 . 345 . 5555 .",0
4593,spam,"Subject: how is your nervous pain
never agaln",1
